ISO3,INFORM_RISK,Natural,Earthquake,River_Flood,Tsunami,Tropical_Cyclone,Coastal_flood,Drought,Epidemic,Human,Projected_Conflict_Probability,Current_Conflict_Intensity,Socio_Economic_Vulnerability,Development_Deprivation,Inequality,Economic_Dependency,Vulnerable_Groups,Uprooted_People,Health_Conditions,Children_U5,Recent_Shocks,Food_Security,Other_Vulnerable_Groups,Institutional,DRR,Governance,Infrastructure,Communication,Physical_Infrastructure,Access_to_Health_Care
AFG,7.7,7.5,5.7,8.8,7.3,0.0,0.0,0.0,8.7,6.2,8.7,10.0,5.9,8.2,8.0,8.6,8.8,5.8,8.3,10.0,2.1,4.2,1.2,7.3,4.1,7.4,7.9,7.1,8.7,6.8
ALB,3.0,3.5,5.5,8.3,4.6,6.8,0.0,7.4,3.9,3.6,0.7,0.1,1.3,2.2,1.9,1.7,1.3,3.0,2.5,4.1,0.2,0.5,0.0,1.1,0.5,3.4,4.4,3.5,5.2,2.2
DZA,3.4,3.0,3.3,7.9,3.6,1.4,0.0,0.7,2.6,3.6,2.6,2.2,2.9,3.0,2.2,2.7,3.3,0.2,3.8,6.1,0.3,1.2,0.0,0.0,0.4,4.3,4.8,3.1,6.5,3.7
AGO,5.3,4.2,3.0,0.1,3.9,0.0,0.0,3.5,3.7,6.8,5.3,7.4,1.9,5.2,5.6,7.8,6.8,0.1,4.7,4.7,4.3,4.6,3.6,5.7,4.6,6.9,6.8,6.7,6.9,6.9
ATG,2.1,2.0,3.7,5.1,0.0,0.0,8.2,4.3,0.0,3.7,0.0,0.0,0.0,1.4,1.4,1.0,3.2,0.2,1.3,0.8,0.0,0.7,0.0,5.1,1.7,3.5,5.3,6.3,4.2,1.1
ARG,3.1,2.6,4.3,5.5,7.7,0.0,0.0,3.7,5.6,4.4,0.5,0.2,0.7,2.7,1.4,0.7,4.0,0.1,3.9,6.0,0.3,0.6,1.4,0.9,0.8,4.1,5.6,5.0,6.1,2.1
ARM,3.0,2.6,3.7,7.3,5.3,0.0,0.0,0.0,5.4,4.3,1.3,0.3,2.2,3.7,1.4,0.9,1.5,2.4,5.4,7.9,0.4,0.7,0.9,1.0,0.8,2.7,3.7,2.0,5.4,1.5
AUS,2.4,2.9,4.7,0.1,5.4,5.7,4.1,6.2,6.2,3.4,0.5,0.1,0.8,2.1,0.4,0.0,1.5,0.0,3.6,5.9,0.1,0.3,0.2,0.8,0.4,2.4,3.2,4.3,2.1,1.6
AUT,2.4,1.4,2.5,3.9,7.2,0.0,0.0,0.0,1.7,1.4,0.2,0.1,0.3,3.2,0.3,0.0,1.0,0.1,5.3,8.0,0.1,0.2,0.0,0.0,0.1,3.0,4.8,6.7,2.8,0.6
AZE,4.1,2.9,4.1,7.8,6.6,0.0,0.0,0.0,5.3,4.3,1.6,1.0,2.1,4.8,2.2,2.2,4.2,0.3,6.6,9.2,0.4,1.1,0.0,0.6,0.5,4.8,6.5,4.488188976377953,6.5,2.4
BHS,2.3,1.9,3.5,0.1,0.0,0.0,7.4,6.1,1.7,5.0,0.0,0.0,0.0,1.9,1.9,1.6,4.3,0.1,1.9,1.9,0.5,1.0,0.0,5.1,1.9,3.2,4.0,4.488188976377953,4.0,2.2
BHR,1.7,1.8,1.5,0.1,0.0,0.0,0.0,5.3,0.0,3.5,2.0,0.3,3.4,0.8,0.6,0.0,2.2,0.0,0.9,1.2,0.1,0.7,0.0,1.2,0.5,3.4,5.2,6.2,4.2,1.1
BGD,6.1,7.9,8.1,8.9,9.9,8.1,7.9,8.9,2.4,7.0,7.6,9.0,5.2,6.1,4.5,6.2,4.3,1.4,7.3,8.1,2.0,3.6,10.0,3.7,6.2,4.6,4.8,2.5,7.1,4.3
BRB,2.0,2.4,4.3,5.4,0.0,3.7,8.1,1.5,0.5,6.6,0.0,0.0,0.0,1.3,2.2,2.6,3.2,0.3,0.4,0.0,0.6,0.8,0.5,1.3,0.8,2.5,3.2,2.7,3.7,1.8
BLR,2.5,2.1,1.9,0.1,5.8,0.0,0.0,0.0,2.2,3.5,2.3,0.1,4.0,2.2,1.0,1.5,0.6,0.3,3.2,5.3,0.4,0.2,0.0,0.8,0.4,3.2,5.0,3.1,6.9,0.9
BEL,2.6,1.9,3.4,2.9,6.2,0.0,0.0,7.7,1.3,1.7,0.2,0.1,0.2,2.7,0.2,0.0,0.4,0.4,4.6,7.3,0.2,0.2,0.0,0.0,0.1,3.3,5.2,7.3,3.0,0.9
BLZ,3.1,2.1,3.7,2.0,2.2,3.0,5.0,6.0,2.2,4.7,0.1,0.1,0.0,2.9,3.7,4.1,4.7,1.8,2.1,3.1,0.7,1.0,0.1,1.8,0.9,4.8,5.8,4.488188976377953,5.8,3.5
BEN,5.1,3.7,3.1,0.1,6.7,0.0,0.0,1.8,0.9,7.5,4.3,5.1,3.5,5.2,6.2,8.8,5.0,2.2,3.9,4.6,4.1,5.2,0.0,2.5,3.2,7.0,6.8,8.0,5.5,7.2
BTN,2.7,1.9,2.8,6.8,4.2,0.0,0.0,0.0,0.0,5.0,0.9,0.1,1.7,2.5,3.8,4.0,2.3,5.0,1.0,0.0,1.5,1.9,0.0,4.2,2.0,4.3,4.7,6.0,3.4,3.8
BOL,4.2,3.0,4.7,7.2,5.5,0.0,0.0,0.0,7.0,7.4,0.8,0.2,1.4,4.8,3.9,4.7,5.0,1.1,5.5,4.6,0.8,1.3,10.0,6.2,6.3,5.2,6.1,5.3,6.8,4.1
BIH,3.3,2.2,2.9,6.0,5.9,0.3,0.0,0.0,3.1,2.4,1.5,0.1,2.8,3.4,2.2,1.9,2.1,2.9,4.5,7.0,0.2,0.5,0.3,1.0,0.5,4.9,6.8,4.488188976377953,6.8,2.1
BWA,2.9,1.3,2.3,0.1,3.6,0.0,0.0,0.0,5.9,4.0,0.2,0.1,0.2,3.8,4.7,5.4,7.0,1.1,2.8,1.2,4.3,3.0,2.5,6.0,4.1,5.1,6.2,8.2,4.2,3.8
BRA,5.1,6.7,4.1,0.5,7.7,0.0,0.0,5.0,4.5,6.4,8.3,10.0,3.8,4.0,3.3,3.5,5.9,0.1,4.7,7.1,0.6,1.0,0.7,1.0,0.8,4.9,6.4,4.488188976377953,6.4,2.9
BRN,2.3,1.6,2.9,0.1,4.8,1.9,0.0,3.3,2.6,5.6,0.0,0.0,0.0,2.9,1.5,1.3,3.4,0.0,4.1,6.3,0.6,0.7,0.0,2.0,0.9,2.6,3.1,4.488188976377953,3.1,2.1
BGR,2.6,1.9,3.2,6.2,5.1,0.0,0.0,2.9,2.8,3.3,0.4,0.1,0.7,3.0,1.5,1.1,3.1,0.5,4.3,6.7,0.2,0.5,0.0,2.0,0.7,3.0,4.4,3.5,5.3,1.2
BFA,7.1,7.1,2.9,0.1,2.2,0.0,0.0,0.0,6.3,7.3,9.2,10.0,7.7,7.3,6.5,8.8,5.3,3.2,7.9,9.8,3.0,4.9,0.0,3.8,3.1,7.0,6.5,6.6,6.3,7.5
BDI,5.8,4.8,2.9,4.6,2.6,0.0,0.0,0.0,3.9,6.7,6.2,6.4,6.0,6.4,7.2,9.5,4.9,4.9,5.4,6.2,2.9,5.1,0.9,7.4,4.5,6.2,5.3,2.7,7.9,7.0
CPV,2.1,0.8,1.6,0.1,0.0,0.0,0.0,0.0,4.9,4.2,0.0,0.0,0.0,3.0,4.4,4.6,4.2,4.3,1.4,1.1,1.4,0.7,0.2,4.0,1.7,4.0,4.8,5.1,4.4,3.2
KHM,4.4,3.2,4.5,0.1,8.6,2.8,1.8,3.7,4.2,6.1,1.6,0.4,2.6,4.8,5.6,6.4,6.7,2.8,3.9,5.5,2.5,2.7,0.0,1.9,1.8,5.6,6.4,5.9,6.8,4.7
CMR,6.6,6.6,3.6,0.1,6.7,0.0,0.0,2.6,3.9,7.6,8.4,9.6,6.3,6.5,5.7,7.7,5.9,1.4,7.1,9.2,4.3,3.8,0.9,1.7,2.8,6.7,7.1,4.488188976377953,7.1,6.3
